date,symbol,Sector,Close,entry,ValuationScore,MomentumScore,StageScore,QualityScore,QualityFlag,Stage,Substage,ScanScore,rr,base_days,base_range_pct,distance_pct,CompositeScore,Verdict
2026-07-02,DLINKINDIA.NS,Information Technology,523.75,518.5,75.5,67.1,80.0,100.0,OK,2.0,2B,57.28,0.93,45.0,15.64,-0.57,77.4,Hold / Add on pullback ·
2026-07-02,FINEORG.NS,Materials,5192.5,5325.0,19.6,68.9,80.0,100.0,OK,2.0,2B,66.78,0.93,68.0,18.35,-0.23,64.0,Hold / Add on pullback ·
2026-07-02,FRESHARA.NS,Consumer Staples,252.3,236.0,26.8,91.2,80.0,0.0,FAIL,2.0,2B,53.56,1.04,132.0,39.04,-3.94,0.0,Avoid (quality) ↓
2026-07-02,GAEL.NS,Consumer Staples,165.35,161.87,46.1,85.6,80.0,100.0,OK,2.0,2B,74.81,1.33,77.0,20.02,0.03,76.5,Hold / Add on pullback ↓
2026-07-02,GANESHBE.NS,Materials,103.69,103.26,84.5,72.8,80.0,100.0,OK,2.0,2B,53.26,0.84,74.0,29.17,-2.05,81.6,Hold / Add on pullback ·
2026-07-02,GEOJITFSL.NS,Financials,78.97,77.17,72.0,57.3,60.0,100.0,OK,1.0,basing (vol contracting),62.99,2.83,178.0,39.67,-1.54,68.1,Accumulate ·
2026-07-02,GHCLTEXTIL.NS,Consumer Discretionary,104.06,94.91,76.4,79.8,80.0,100.0,OK,2.0,2B / Late_Stage_Base,71.42,3.6,70.0,30.9,0.48,82.0,Hold / Add on pullback ·
2026-07-02,GKWLIMITED.NS,Industrials,1715.0,1748.9,93.2,48.4,60.0,100.0,OK,1.0,basing (vol contracting),57.74,4.11,175.0,31.28,1.45,70.2,Accumulate ·
2026-07-02,GLOSTERLTD.NS,Consumer Discretionary,749.45,724.0,30.8,70.1,80.0,0.0,FAIL,2.0,2B,59.72,1.88,54.0,20.06,1.7,0.0,Avoid (quality) ·
2026-07-02,GNFC.NS,Materials,534.15,546.45,72.5,61.8,60.0,100.0,OK,1.0,basing (vol contracting),58.33,0.97,41.0,24.09,0.28,69.8,Accumulate ·
2026-07-02,GOODLUCK.NS,Materials,1490.7,1474.6,43.6,85.8,80.0,100.0,OK,2.0,2B,71.06,1.13,52.0,17.55,0.86,75.9,Hold / Add on pullback ·
2026-07-02,GREENLAM.NS,Industrials,260.0,257.2,9.5,58.7,60.0,85.0,WATCH,1.0,basing (vol contracting),58.3,2.24,175.0,29.32,3.97,50.7,Watch ·
2026-07-02,HARSHA.NS,Industrials,415.65,409.85,58.7,72.3,60.0,100.0,OK,1.0,basing,55.34,2.47,174.0,39.22,-3.14,70.0,Watch ·
2026-07-02,HEALTHX.NS,Health Care,312.0,319.1,1.8,60.3,60.0,100.0,OK,1.0,basing (vol contracting),59.22,1.63,146.0,27.26,1.74,51.6,Watch ↑
2026-07-02,HNDFDS.NS,Consumer Staples,563.0,549.2,26.8,73.3,60.0,85.0,WATCH,1.0,basing (vol contracting),67.93,2.64,137.0,19.6,1.19,60.1,Watch ↓
2026-07-02,IGPL.NS,Materials,452.25,449.7,37.4,61.0,80.0,100.0,OK,2.0,2B,56.02,0.63,80.0,19.43,-2.59,65.7,Hold / Add on pullback ·
2026-07-02,IIFLCAPS.NS,Financials,338.6,337.9,77.7,59.3,40.0,100.0,OK,3.0,topping,60.04,25.67,139.0,36.67,3.29,65.2,Trim / Hold-tight ·
2026-07-02,IKS.NS,Health Care,1837.5,1700.0,39.3,79.2,60.0,100.0,OK,1.0,basing,80.29,4.47,175.0,30.07,-0.13,67.5,Watch ↑
2026-07-02,INDGN.NS,Industrials,512.4,516.85,47.7,30.9,60.0,100.0,OK,1.0,basing (vol contracting),59.0,6.23,173.0,26.96,0.47,52.7,Watch ·
2026-07-02,INDNIPPON.NS,Consumer Discretionary,996.0,957.5,72.4,75.2,60.0,100.0,OK,1.0,basing,55.62,2.11,132.0,33.21,-2.57,74.4,Watch ·
2026-07-02,JAMNAAUTO.NS,Consumer Discretionary,139.46,132.86,65.1,77.9,80.0,100.0,OK,2.0,2B,66.33,1.0,167.0,33.09,-1.32,78.5,Hold / Add on pullback ·
2026-07-02,JBMA.NS,Consumer Discretionary,712.3,684.5,5.6,71.2,60.0,85.0,WATCH,1.0,basing (vol contracting),62.31,2.94,173.0,38.93,-1.87,54.1,Watch ·
2026-07-02,JINDALSAW.NS,Industrials,262.9,260.06,82.9,77.2,80.0,100.0,OK,2.0,2B,52.35,0.59,67.0,22.45,-4.25,82.7,Hold / Add on pullback ·
2026-07-02,KICL.NS,Financials,5422.0,5299.0,26.9,65.3,40.0,100.0,OK,3.0,topping,54.49,2.2,174.0,29.81,-2.1,54.6,Trim / Hold-tight ·
2026-07-02,KOPRAN.NS,Health Care,187.84,190.0,50.4,65.3,80.0,100.0,OK,2.0,2B,57.12,1.14,41.0,30.73,-2.36,70.5,Hold / Add on pullback ↑
2026-07-02,KPIL.NS,Utilities,1370.2,1346.1,34.8,80.5,60.0,100.0,OK,1.0,basing,53.4,2.06,122.0,36.38,-3.52,66.9,Watch ·
2026-07-02,KRISHIVAL.NS,Consumer Staples,404.5,405.7,38.0,59.2,60.0,100.0,OK,1.0,basing (vol contracting),60.26,5.29,172.0,32.69,-3.72,60.2,Watch ↓
2026-07-02,KSL.NS,Materials,882.9,844.55,59.7,62.9,60.0,100.0,OK,1.0,basing,57.32,1.15,67.0,16.91,1.17,66.9,Watch ·
2026-07-02,KTKBANK.NS,Financials,267.55,268.6,92.8,82.8,80.0,85.0,WATCH,2.0,2B,51.79,3.12,56.0,15.87,3.83,84.9,Hold / Add on pullback ·
2026-07-02,LMW.NS,Industrials,15798.0,15998.0,0.0,59.5,60.0,100.0,OK,1.0,basing (vol contracting),72.6,5.87,139.0,31.16,1.05,50.8,Watch ·
2026-07-02,LRRPL.NS,Consumer Discretionary,90.0,95.0,31.4,84.0,60.0,100.0,OK,1.0,basing,62.49,1.04,39.0,24.85,0.8,67.2,Watch ·
2026-07-02,MAHLIFE.NS,Real Estate,372.2,367.05,,47.4,60.0,100.0,OK,1.0,basing (vol contracting),75.17,1.52,157.0,30.58,-0.05,46.6,Watch ↓
2026-07-02,MANINDS.NS,Industrials,597.1,574.4,47.5,84.8,80.0,100.0,OK,2.0,2B,58.43,0.73,63.0,25.48,-1.93,76.6,Hold / Add on pullback ·
2026-07-02,MANORAMA.NS,Consumer Staples,1581.2,1587.1,31.5,75.2,80.0,0.0,FAIL,2.0,2B,59.45,2.09,139.0,33.53,-2.71,0.0,Avoid (quality) ↓
2026-07-02,MARKSANS.NS,Health Care,267.2,263.4,50.7,74.7,80.0,100.0,OK,2.0,2B,72.01,1.01,33.0,17.87,0.49,73.8,Hold / Add on pullback ↑
2026-07-02,MBAPL.NS,Materials,604.3,562.25,27.4,84.3,80.0,70.0,WATCH,2.0,2B,75.29,1.54,82.0,14.67,1.03,66.9,Hold / Add on pullback ·
2026-07-02,MENONBE.NS,Consumer Discretionary,160.08,161.93,54.7,85.9,80.0,100.0,OK,2.0,2B,56.83,0.83,46.0,30.42,-1.53,78.7,Hold / Add on pullback ·
2026-07-02,METROPOLIS.NS,Health Care,544.3,521.8,12.3,76.9,80.0,100.0,OK,2.0,2B,54.88,6.18,175.0,37.25,-3.42,65.0,Hold / Add on pullback ↑
2026-07-02,NAHARINDUS.NS,Consumer Discretionary,118.1,116.8,86.6,52.4,60.0,100.0,OK,1.0,basing (vol contracting),71.83,9.06,178.0,39.31,0.07,70.0,Accumulate ·
2026-07-02,NAZARA.NS,Consumer Discretionary,305.25,303.75,20.7,54.0,60.0,100.0,OK,1.0,basing (vol contracting),50.39,1.57,175.0,33.59,-3.66,54.1,Watch ·
2026-07-02,NIBE.NS,Industrials,1656.7,1642.1,0.0,63.2,80.0,100.0,OK,2.0,2B,50.44,0.89,35.0,30.11,-1.91,57.1,Hold / Add on pullback ·
2026-07-02,NITINSPIN.NS,Consumer Discretionary,560.0,559.95,76.8,84.3,80.0,100.0,OK,2.0,2B,70.28,1.26,47.0,16.67,0.66,83.7,Hold / Add on pullback ·
2026-07-02,PLASTIBLEN.NS,Materials,181.3,181.15,74.3,49.9,60.0,100.0,OK,1.0,basing (vol contracting),52.16,0.64,34.0,10.65,-1.41,66.0,Accumulate ·
2026-07-02,PNBHOUSING.NS,Financials,1055.6,1034.0,75.9,67.7,80.0,85.0,WATCH,2.0,2B,71.73,3.07,175.0,36.62,-0.86,75.4,Hold / Add on pullback ·
2026-07-02,PREMIERPOL.NS,Consumer Discretionary,68.4,65.82,66.3,78.7,80.0,100.0,OK,2.0,2B,64.66,1.46,109.0,27.6,1.93,79.1,Hold / Add on pullback ·
2026-07-02,PTCIL.NS,Materials,17487.0,17193.0,0.0,69.1,40.0,100.0,OK,3.0,topping,57.32,6.54,167.0,30.55,1.89,49.2,Trim / Hold-tight ·
2026-07-02,REDINGTON.NS,Information Technology,279.2,275.52,87.1,55.5,60.0,100.0,OK,1.0,basing (vol contracting),59.42,1.53,145.0,36.47,-0.62,71.2,Accumulate ·
2026-07-02,REDTAPE.NS,Consumer Discretionary,137.33,135.2,43.7,62.1,60.0,100.0,OK,1.0,basing (vol contracting),59.62,4.97,167.0,36.78,3.49,62.7,Watch ·
2026-07-02,RELIGARE.NS,Financials,264.0,269.0,17.2,68.1,60.0,100.0,OK,1.0,basing (vol contracting),69.51,1.46,173.0,31.19,-0.5,58.1,Watch ·
2026-07-02,RIIL.NS,Energy,814.85,834.85,12.2,44.7,60.0,100.0,OK,1.0,basing,56.45,1.94,178.0,35.06,-0.71,48.7,Watch ·
2026-07-02,SATIN.NS,Financials,259.68,235.89,62.3,88.2,80.0,85.0,WATCH,2.0,2B,53.22,1.92,48.0,17.05,3.66,79.2,Hold / Add on pullback ·
2026-07-02,SBCL.NS,Materials,763.2,746.95,13.9,86.8,80.0,100.0,OK,2.0,2B,53.29,1.55,34.0,16.43,3.78,68.9,Hold / Add on pullback ·
2026-07-02,SGFIN.NS,Financials,661.1,602.35,50.0,87.8,80.0,85.0,WATCH,2.0,2B,56.31,1.6,45.0,13.92,2.47,76.0,Hold / Add on pullback ·
2026-07-02,SGIL.NS,Industrials,562.6,556.3,19.1,64.6,60.0,85.0,WATCH,1.0,basing (vol contracting),65.78,3.66,180.0,35.4,1.41,55.1,Watch ·
2026-07-02,SHREEPUSHK.NS,Materials,399.3,404.35,49.3,70.9,60.0,100.0,OK,1.0,basing (vol contracting),54.58,2.69,180.0,36.11,3.1,67.1,Watch ·
2026-07-02,SHYAMMETL.NS,Materials,962.35,952.05,33.0,74.7,80.0,100.0,OK,2.0,2B,53.03,3.32,33.0,8.18,3.95,69.4,Hold / Add on pullback ·
2026-07-02,SKIPPER.NS,Utilities,566.05,528.55,34.1,75.2,80.0,100.0,OK,2.0,2B,54.47,4.55,69.0,29.08,-2.49,69.8,Hold / Add on pullback ·
2026-07-02,SMARTWORKS.NS,Real Estate,483.0,492.3,,46.9,60.0,85.0,WATCH,1.0,basing (vol contracting),52.98,1.67,166.0,28.55,-2.18,44.2,Watch ↓
2026-07-02,SRGHFL.NS,Financials,304.0,295.15,60.4,54.6,60.0,100.0,OK,1.0,basing (vol contracting),57.22,1.54,159.0,35.02,-2.61,64.2,Accumulate ·
2026-07-02,SSWL.NS,Consumer Discretionary,248.06,229.51,60.8,66.3,60.0,100.0,OK,1.0,basing,59.32,1.52,173.0,32.39,-1.14,68.4,Watch ·
2026-07-02,STEELCAS.NS,Materials,299.95,300.35,28.0,92.0,80.0,100.0,OK,2.0,2B,52.62,1.11,73.0,28.34,1.25,74.2,Hold / Add on pullback ·
2026-07-02,SUNDRMFAST.NS,Consumer Discretionary,946.55,932.95,31.2,47.4,60.0,100.0,OK,1.0,basing,55.35,1.79,178.0,30.56,1.21,54.4,Watch ·
2026-07-02,SUVEN.NS,Health Care,297.95,277.0,0.0,82.9,80.0,100.0,OK,2.0,2B,63.07,1.01,40.0,24.19,0.5,64.0,Hold / Add on pullback ↑
2026-07-02,TATATECH.NS,Information Technology,712.4,715.0,18.7,67.1,80.0,100.0,OK,2.0,2B,64.63,10.73,172.0,39.6,-2.31,63.2,Hold / Add on pullback ·
2026-07-02,TMB.NS,Financials,746.1,737.0,91.5,86.9,80.0,85.0,WATCH,2.0,2B,56.21,1.91,139.0,32.22,-3.89,86.0,Hold / Add on pullback ·
2026-07-02,TVSSRICHAK.NS,Consumer Discretionary,4327.3,4119.0,30.7,77.1,40.0,100.0,OK,3.0,topping,66.67,3.37,152.0,37.78,1.85,59.7,Trim / Hold-tight ·
2026-07-02,USHAMART.NS,Materials,502.4,484.35,24.7,81.3,80.0,100.0,OK,2.0,2B,55.57,2.24,56.0,16.22,2.81,69.6,Hold / Add on pullback ·
2026-07-02,V2RETAIL.NS,Consumer Discretionary,229.79,229.0,25.4,80.1,40.0,85.0,WATCH,3.0,topping,53.33,2.12,145.0,39.89,-4.51,57.1,Trim / Hold-tight ·
2026-07-02,VSSL.NS,Materials,273.1,280.2,40.5,47.9,60.0,100.0,OK,1.0,basing (vol contracting),69.72,3.33,178.0,35.53,0.35,56.9,Watch ·
2026-07-02,VSTIND.NS,Consumer Staples,262.0,260.5,67.7,44.2,60.0,100.0,OK,1.0,basing (vol contracting),54.59,6.74,179.0,32.28,3.21,62.4,Accumulate ↓
2026-07-02,VTL.NS,Consumer Discretionary,657.65,640.0,43.2,83.8,80.0,100.0,OK,2.0,2B,66.05,1.65,54.0,16.72,0.72,75.1,Hold / Add on pullback ·
2026-07-02,WALCHANNAG.NS,Industrials,246.75,274.1,34.9,71.1,80.0,0.0,FAIL,2.0,2B,52.05,1.1,54.0,36.55,-1.15,0.0,Avoid (quality) ·
2026-07-02,WANBURY.NS,Health Care,286.75,281.7,86.6,71.9,80.0,0.0,FAIL,2.0,2B,63.91,1.77,137.0,34.58,-0.17,0.0,Avoid (quality) ↑
2026-07-02,WELENT.NS,Industrials,612.25,574.0,70.4,76.5,40.0,100.0,OK,3.0,topping,74.34,1.45,60.0,24.82,-1.4,69.4,Trim / Hold-tight ·
2026-07-02,WSTCSTPAPR.NS,Materials,532.0,516.2,63.5,70.1,80.0,100.0,OK,2.0,2B,70.26,1.61,74.0,17.02,-0.22,75.4,Hold / Add on pullback ·
2026-07-02,ZFCVINDIA.NS,Consumer Discretionary,2433.2,2686.0,24.6,69.3,100.0,100.0,OK,2.0,2A,53.03,0.99,174.0,33.99,-3.04,70.4,Buy (rich) ·
2026-07-03,513472.BO,,536.05,536.05,,79.1,40.0,,,3.0,topping,71.89,1.6,101.0,27.79,-0.12,37.7,Watch (no fundamentals) ·
2026-07-03,543920.BO,,880.0,880.0,,80.0,80.0,,,2.0,2B,70.7,1.0,59.0,23.65,-0.08,48.0,Watch (no fundamentals) ·
2026-07-03,544037.BO,,1832.2,1832.2,,75.6,80.0,,,2.0,2B,76.06,1.22,53.0,21.77,-1.22,46.5,Watch (no fundamentals) ·
2026-07-03,ACE.NS,Industrials,990.0,990.0,,40.3,60.0,100.0,OK,1.0,basing,59.6,1.84,179.0,30.4,0.3,44.1,Watch ·
2026-07-03,AMBIKCO.NS,Consumer Discretionary,1742.5,1742.5,,84.3,80.0,100.0,OK,2.0,2B,55.7,0.64,58.0,18.05,-2.91,64.5,Hold / Add on pullback ·
2026-07-03,APCOTEXIND.NS,Materials,525.55,525.55,,90.2,80.0,100.0,OK,2.0,2B,64.01,1.51,45.0,19.3,0.55,66.6,Hold / Add on pullback ·
2026-07-03,ARMANFIN.NS,Financials,1740.5,1740.5,,58.7,40.0,100.0,OK,3.0,topping,58.58,1.45,177.0,36.18,-3.83,45.5,Trim / Hold-tight ·
2026-07-03,ASHIANA.NS,Real Estate,388.2,388.2,,76.5,80.0,0.0,FAIL,2.0,2B,70.73,1.19,56.0,18.1,-0.37,0.0,Avoid (quality) ↓
2026-07-03,AVTNPL.NS,Consumer Staples,71.17,71.17,,62.9,60.0,100.0,OK,1.0,basing,54.38,3.03,171.0,35.17,-2.12,52.0,Watch ↓
2026-07-03,BANCOINDIA.NS,Consumer Discretionary,689.1,689.1,,61.2,60.0,100.0,OK,1.0,basing,56.32,3.22,142.0,29.14,3.08,51.4,Watch ·
2026-07-03,BANSWRAS.NS,Consumer Discretionary,132.75,132.75,,60.1,60.0,100.0,OK,1.0,basing (vol contracting),56.55,1.97,148.0,38.52,-1.69,51.0,Watch ·
2026-07-03,BELRISE.NS,Consumer Discretionary,230.74,230.74,,91.3,80.0,100.0,OK,2.0,2B,55.79,0.98,74.0,21.75,-1.37,67.0,Hold / Add on pullback ·
2026-07-03,CAPITALSFB.NS,Financials,291.05,291.05,,54.2,60.0,100.0,OK,1.0,basing,60.87,1.27,60.0,20.32,1.11,49.0,Watch ·
2026-07-03,CARYSIL.NS,Consumer Discretionary,1162.1,1162.1,,86.4,80.0,100.0,OK,2.0,2B,68.37,0.94,39.0,18.03,-0.38,65.2,Hold / Add on pullback ·
2026-07-03,CCL.NS,Consumer Staples,1173.0,1173.0,,93.8,80.0,100.0,OK,2.0,2B,53.16,1.75,86.0,15.9,3.6,67.8,Hold / Add on pullback ↓
2026-07-03,CENTENKA.NS,Consumer Discretionary,535.05,535.05,,69.0,80.0,100.0,OK,2.0,2B,61.84,2.32,147.0,39.83,-3.16,59.1,Hold / Add on pullback ·
2026-07-03,CHAMBLFERT.NS,Materials,481.55,481.55,,41.3,60.0,100.0,OK,1.0,basing (vol contracting),51.49,2.4,179.0,20.02,1.7,44.5,Watch ·
2026-07-03,CHENNPETRO.NS,Energy,1125.8,1125.8,,85.1,80.0,100.0,OK,2.0,2B,72.14,3.72,102.0,27.87,-0.96,64.8,Hold / Add on pullback ·
2026-07-03,CHOICEIN.NS,Financials,800.05,800.05,,61.3,60.0,100.0,OK,1.0,basing,61.0,1.53,168.0,32.92,2.24,51.5,Watch ·
2026-07-03,CNL.NS,Information Technology,764.6,764.6,,75.4,60.0,100.0,OK,1.0,basing (vol contracting),64.19,1.31,176.0,34.51,-2.41,56.4,Watch ·
2026-07-03,CRAFTSMAN.NS,Industrials,9119.0,9119.0,,85.4,80.0,100.0,OK,2.0,2B,63.8,2.29,56.0,18.27,1.76,64.9,Hold / Add on pullback ·
2026-07-03,CUB.NS,Financials,216.76,216.76,,77.5,40.0,100.0,OK,3.0,topping,72.54,1.14,178.0,33.94,-0.45,52.1,Trim / Hold-tight ·
2026-07-03,DDEVPLSTIK.NS,Materials,282.45,282.45,,44.1,60.0,100.0,OK,1.0,basing,54.23,2.35,135.0,37.89,-0.15,45.4,Watch ·
2026-07-03,DLINKINDIA.NS,Information Technology,524.75,524.75,,69.6,80.0,100.0,OK,2.0,2B,56.09,0.88,49.0,15.64,-1.76,59.4,Hold / Add on pullback ·
2026-07-03,ELGIEQUIP.NS,Industrials,579.55,579.55,,78.9,80.0,100.0,OK,2.0,2B,67.88,11.48,130.0,31.54,-2.16,62.6,Hold / Add on pullback ·
2026-07-03,ETL.NS,Industrials,1045.0,1045.0,,76.3,80.0,100.0,OK,2.0,2B,54.41,1.42,57.0,21.91,0.32,61.7,Hold / Add on pullback ·
2026-07-03,FINEORG.NS,Materials,5206.5,5206.5,,72.4,80.0,100.0,OK,2.0,2B,51.11,1.69,72.0,18.34,2.93,60.3,Hold / Add on pullback ·
2026-07-03,GAEL.NS,Consumer Staples,164.52,164.52,,86.8,80.0,100.0,OK,2.0,2B,69.93,1.34,81.0,19.9,-0.99,65.4,Hold / Add on pullback ↓
2026-07-03,GANESHBE.NS,Materials,103.32,103.32,,78.4,80.0,100.0,OK,2.0,2B,52.42,2.21,78.0,29.22,-2.28,62.4,Hold / Add on pullback ·
2026-07-03,GEECEE.NS,Real Estate,356.0,356.0,,52.7,60.0,100.0,OK,1.0,basing (vol contracting),59.19,0.94,46.0,19.02,-1.14,48.4,Watch ↓
2026-07-03,GLOSTERLTD.NS,Consumer Discretionary,712.45,712.45,,70.6,80.0,0.0,FAIL,2.0,2B,50.09,2.37,58.0,21.07,3.35,0.0,Avoid (quality) ·
2026-07-03,GOODLUCK.NS,Materials,1490.2,1490.2,,87.6,80.0,100.0,OK,2.0,2B,72.57,0.99,56.0,19.09,-0.19,65.7,Hold / Add on pullback ·
2026-07-03,GREENLAM.NS,Industrials,267.05,267.05,,64.2,60.0,100.0,OK,1.0,basing (vol contracting),83.85,1.72,179.0,29.32,0.16,52.5,Watch ·
2026-07-03,GSMFOILS.NS,Materials,236.25,236.25,,77.8,60.0,100.0,OK,1.0,basing (vol contracting),65.76,1.47,77.0,26.05,1.57,57.2,Watch ·
2026-07-03,HAPPYFORGE.NS,Industrials,1499.1,1499.1,,95.7,80.0,100.0,OK,2.0,2B,62.82,0.69,52.0,18.09,-1.5,68.5,Hold / Add on pullback ·
2026-07-03,HEALTHX.NS,Health Care,312.0,312.0,,59.6,60.0,100.0,OK,1.0,basing (vol contracting),50.95,0.78,155.0,29.69,-4.47,50.9,Watch ↑
2026-07-03,HITECHGEAR.NS,Consumer Discretionary,708.0,708.0,,47.0,60.0,100.0,OK,1.0,basing,66.7,1.19,150.0,26.87,0.42,46.5,Watch ·
2026-07-03,HMT.NS,Industrials,67.91,67.91,,70.2,80.0,0.0,FAIL,2.0,2B,59.59,0.67,108.0,30.39,-3.33,0.0,Avoid (quality) ·
2026-07-03,HNDFDS.NS,Consumer Staples,553.0,553.0,,67.6,60.0,100.0,OK,1.0,basing,72.06,2.45,141.0,20.14,0.5,53.7,Watch ↓
2026-07-03,IGPL.NS,Materials,455.0,455.0,,59.9,80.0,100.0,OK,2.0,2B,53.59,0.69,84.0,19.43,-3.73,56.0,Hold / Add on pullback ·
2026-07-03,IMPAL.NS,Consumer Discretionary,1118.9,1118.9,,60.0,60.0,100.0,OK,1.0,basing (vol contracting),72.64,2.23,161.0,22.06,0.84,51.0,Watch ·
2026-07-03,JBMA.NS,Consumer Discretionary,703.55,703.55,,72.6,60.0,100.0,OK,1.0,basing (vol contracting),55.42,2.41,177.0,38.93,-4.52,55.4,Watch ·
2026-07-03,JINDALSAW.NS,Industrials,260.95,260.95,,79.3,80.0,100.0,OK,2.0,2B,52.68,0.59,71.0,22.39,-4.34,62.8,Hold / Add on pullback ·
2026-07-03,JLHL.NS,Health Care,1456.3,1456.3,,48.1,60.0,100.0,OK,1.0,basing,52.73,1.0,179.0,20.32,-3.38,46.8,Watch ↑
2026-07-03,KKCL.NS,Consumer Discretionary,512.75,512.75,,49.0,60.0,100.0,OK,1.0,basing,65.97,1.11,168.0,28.5,-0.32,47.1,Watch ·
2026-07-03,KOPRAN.NS,Health Care,193.31,193.31,,67.5,80.0,100.0,OK,2.0,2B,52.23,0.7,45.0,30.87,-4.47,58.6,Hold / Add on pullback ↑
2026-07-03,KRISHIVAL.NS,Consumer Staples,404.6,404.6,,57.6,60.0,100.0,OK,1.0,basing (vol contracting),53.43,10.85,176.0,32.69,-3.45,50.2,Watch ↓
2026-07-03,MAHLIFE.NS,Real Estate,369.6,369.6,,42.4,60.0,100.0,OK,1.0,basing,68.04,1.27,161.0,30.88,-1.7,44.8,Watch ↓
2026-07-03,MANINDS.NS,Industrials,584.0,584.0,,84.6,80.0,100.0,OK,2.0,2B,51.91,0.62,67.0,25.48,-3.54,64.6,Hold / Add on pullback ·
2026-07-03,MARKSANS.NS,Health Care,264.45,264.45,,75.1,80.0,100.0,OK,2.0,2B,75.01,0.95,37.0,19.12,0.09,61.3,Hold / Add on pullback ↑
2026-07-03,MENONBE.NS,Consumer Discretionary,161.99,161.99,,87.2,80.0,100.0,OK,2.0,2B,56.68,0.83,50.0,30.42,-1.57,65.5,Hold / Add on pullback ·
